#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Ga0073928_119599571  -          AMO                  PF02461.15     6e-30  112.3   4.9   6.5e-30  112.2   4.9   1.0   1   0   0   1   1   1   1 -
Ga0073928_101126213  -          AMO                  PF02461.15     7e-30  112.1   4.9     8e-30  111.9   4.9   1.0   1   0   0   1   1   1   1 -
Ga0073928_119624971  -          AMO                  PF02461.15   2.2e-29  110.5   6.2   2.3e-29  110.4   6.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_108149612  -          AMO                  PF02461.15   3.5e-28  106.5   3.9     4e-28  106.3   3.9   1.0   1   0   0   1   1   1   1 -
Ga0073928_119643351  -          AMO                  PF02461.15   1.1e-25   98.4   5.1   1.2e-25   98.3   5.1   1.0   1   0   0   1   1   1   1 -
Ga0073928_118700522  -          AMO                  PF02461.15   1.5e-25   97.9   4.1   1.7e-25   97.8   4.1   1.0   1   0   0   1   1   1   1 -
Ga0073928_119436141  -          AMO                  PF02461.15   8.3e-25   95.5   1.0   9.6e-25   95.3   1.0   1.0   1   0   0   1   1   1   1 -
Ga0073928_119456791  -          AMO                  PF02461.15   7.5e-23   89.1   1.0   8.6e-23   88.9   1.0   1.0   1   0   0   1   1   1   1 -
Ga0073928_119627031  -          AMO                  PF02461.15   2.9e-22   87.1   0.2   3.2e-22   87.0   0.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_112300211  -          AMO                  PF02461.15   7.3e-21   82.6   2.4   7.6e-21   82.5   2.4   1.0   1   0   0   1   1   1   1 -
Ga0073928_119469301  -          AMO                  PF02461.15   4.7e-18   73.4   0.3     5e-18   73.3   0.3   1.0   1   0   0   1   1   1   1 -
Ga0073928_101231825  -          AMO                  PF02461.15   2.2e-17   71.2   1.9   2.6e-17   70.9   1.9   1.1   1   0   0   1   1   1   1 -
Ga0073928_118568671  -          AMO                  PF02461.15   3.1e-13   57.6   4.4   3.3e-13   57.5   4.4   1.0   1   0   0   1   1   1   1 -
Ga0073928_106813101  -          AMO                  PF02461.15   4.4e-12   53.8   0.4     5e-12   53.6   0.4   1.0   1   0   0   1   1   1   1 -
Ga0073928_107466411  -          AMO                  PF02461.15   8.4e-12   52.9   4.2   1.6e-11   52.0   4.2   1.5   1   0   0   1   1   1   1 -
Ga0073928_109433682  -          AMO                  PF02461.15   8.9e-12   52.8   6.2   9.8e-12   52.7   6.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_102923533  -          AMO                  PF02461.15   6.1e-09   43.5   0.2   6.1e-09   43.5   0.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_118465432  -          AMO                  PF02461.15   6.1e-09   43.5   0.2   6.1e-09   43.5   0.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_101485401  -          AMO                  PF02461.15   7.6e-08   40.0   6.0   8.9e-08   39.7   6.0   1.1   1   0   0   1   1   1   1 -
Ga0073928_116375121  -          AMO                  PF02461.15   1.7e-06   35.5   0.2   1.8e-06   35.5   0.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_116064691  -          AMO                  PF02461.15    0.0018   25.6   0.2    0.0018   25.6   0.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_1000633814 -          AMO                  PF02461.15    0.0032   24.8   1.1    0.0032   24.8   1.1   1.4   1   1   0   1   1   1   1 -
Ga0073928_103078211  -          AMO                  PF02461.15    0.0065   23.8   0.2    0.0067   23.8   0.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_115724211  -          AMO                  PF02461.15    0.0065   23.8   0.2    0.0067   23.8   0.2   1.0   1   0   0   1   1   1   1 -
Ga0073928_104725871  -          AMO                  PF02461.15      0.17   19.1   1.5      0.24   18.6   1.5   1.3   1   0   0   1   1   1   0 -
Ga0073928_100117764  -          AMO                  PF02461.15      0.36   18.1   1.5      0.85   16.9   1.5   1.6   1   0   0   1   1   1   0 -
Ga0073928_115832071  -          AMO                  PF02461.15      0.51   17.6   0.1      0.59   17.4   0.1   1.2   1   0   0   1   1   1   0 -
Ga0073928_116828681  -          AMO                  PF02461.15      0.52   17.6   0.7      0.61   17.4   0.7   1.1   1   0   0   1   1   1   0 -
Ga0073928_113162091  -          AMO                  PF02461.15         2   15.7   1.3        68   10.6   0.3   2.0   1   1   1   2   2   2   0 -
Ga0073928_103901182  -          AMO                  PF02461.15       3.3   14.9   0.5       3.6   14.8   0.5   1.2   1   0   0   1   1   1   0 -
Ga0073928_117175271  -          AMO                  PF02461.15       4.6   14.5   0.1       4.7   14.4   0.1   1.0   1   0   0   1   1   1   0 -
Ga0073928_112254781  -          AMO                  PF02461.15       4.6   14.5   0.3       6.1   14.1   0.3   1.1   1   0   0   1   1   1   0 -
Ga0073928_118546791  -          AMO                  PF02461.15       4.9   14.4   0.5       6.6   14.0   0.5   1.2   1   0   0   1   1   1   0 -
Ga0073928_105315381  -          AMO                  PF02461.15       5.4   14.2   0.7       8.2   13.7   0.7   1.2   1   0   0   1   1   1   0 -
Ga0073928_102442691  -          AMO                  PF02461.15       5.8   14.1   3.7   2.1e+03    5.8   0.1   3.3   3   0   0   3   3   3   0 -
Ga0073928_119098632  -          AMO                  PF02461.15       6.9   13.9   2.1       8.5   13.6   2.1   1.0   1   0   0   1   1   1   0 -
Ga0073928_102406621  -          AMO                  PF02461.15       8.7   13.6   0.4        11   13.3   0.4   1.0   1   0   0   1   1   1   0 -
Ga0073928_117917361  -          AMO                  PF02461.15       9.6   13.4   0.6        11   13.2   0.6   1.1   1   0   0   1   1   1   0 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      AMO.hmm
# Target file:     76969.assembled.faa
# Option settings: hmmsearch --tblout amo_mg1.tab AMO.hmm 76969.assembled.faa 
# Current dir:     /media/andriy/5E8D984477029FC2/scripts/operon_finder/bioinf_and_func_gen_book
# Date:            Wed Sep 27 19:40:33 2017
# [ok]
