Monooxygenase_B      PF04744.11 Ga0073928_1000008053 -            1.3e-05   11.8   0.0   1.6e-05   11.5   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_1000028111 -             0.0021    4.6   6.9   0.00044    6.8   3.1   1.6   2   0   0   2   2   2   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100412031  -            4.4e-06   13.8   2.4   1.2e-05   12.3   0.4   2.0   2   0   0   2   2   2   2 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_100412552  -            0.00016    9.2   7.4   0.00027    8.5   2.5   2.6   2   1   0   2   2   2   2 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_100473173  -            1.6e-05   11.5   0.1   1.8e-05   11.3   0.1   1.1   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100491951  -            1.8e-05   11.3   0.0   2.8e-05   10.7   0.0   1.2   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100513673  -            1.2e-06   15.6   0.1   1.3e-06   15.6   0.1   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_100586684  -             0.0095    2.4   8.2   0.00064    6.2   1.2   1.9   2   0   0   2   2   2   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100600002  -            1.7e-05   11.4   0.0   0.00091    5.7   0.0   2.0   2   0   0   2   2   2   2 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100602702  -            1.8e-05   11.3   0.2   3.2e-05   10.5   0.2   1.3   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100617812  -            6.8e-06   12.7   0.2   2.7e-05   10.8   0.0   1.8   1   1   1   2   2   2   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100639861  -            9.1e-07   15.6   0.7   1.4e-06   15.0   0.7   1.2   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100681562  -            1.6e-06   14.8   0.0   2.6e-06   14.1   0.0   1.2   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_100794841  -              9e-06   13.3   0.1     1e-05   13.1   0.1   1.1   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_100839133  -            8.2e-06   12.5   0.0   1.2e-05   11.9   0.0   1.3   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_100857602  -            1.3e-05   12.8   0.0   1.5e-05   12.6   0.0   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_100865221  -            1.2e-05   11.9   0.0   1.2e-05   11.9   0.0   1.1   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_100969961  -           1.4e-155  505.4   0.0  1.7e-155  505.1   0.0   1.1   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_100990661  -            1.9e-38  119.8   3.8   2.1e-38  119.6   3.8   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101017102  -            2.3e-05   11.0   0.7   4.7e-05   10.0   0.0   1.7   2   0   0   2   2   2   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_101059802  -             0.0022    5.0   6.9   0.00056    6.9   1.5   2.0   2   0   0   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101126212  -           5.6e-144  467.2   0.0  6.3e-144  467.1   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_101126213  -            5.9e-36  112.1   4.9   6.8e-36  111.9   4.9   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_101153704  -            1.8e-24   73.9   0.0   1.9e-24   73.8   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_101164774  -            3.2e-05   10.5   0.6   0.00012    8.7   0.0   1.9   2   0   0   2   2   2   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_101231825  -            1.8e-23   71.2   1.9   2.2e-23   70.9   1.9   1.1   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_101270861  -            1.1e-36  114.1   0.0   1.4e-36  113.8   0.0   1.1   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_101270862  -            1.4e-96  310.5  22.0   1.7e-96  310.3  22.0   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_101270863  -            7.7e-93  297.9  12.8   8.8e-93  297.7  12.8   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_101292242  -            9.4e-06   12.7   0.1   1.4e-05   12.1   0.1   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101299902  -              0.001    5.6   4.8   0.00053    6.5   0.5   2.1   2   0   0   2   2   2   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_101337315  -            0.00015    8.8   7.7   0.00032    7.7   7.7   1.7   1   1   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101436702  -           2.9e-127  412.2   0.0  3.2e-127  412.1   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_101436703  -            2.2e-20   60.5   0.1   2.6e-20   60.2   0.1   1.1   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_101436704  -            1.7e-37  117.1   3.7   1.8e-37  117.0   3.7   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_101474281  -            3.9e-53  168.2   0.0   4.3e-53  168.1   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_101485401  -            6.4e-14   40.0   6.0   7.5e-14   39.7   6.0   1.1   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_101485402  -              2e-53  168.8  16.3   2.6e-53  168.5  16.3   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101539461  -              2e-05   11.2   0.0   2.8e-05   10.7   0.0   1.2   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_101573441  -              4e-05   10.2   2.7   3.5e-05   10.4   1.9   1.3   1   1   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_101596943  -            7.7e-06   13.0   0.1     1e-05   12.6   0.1   1.1   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101667075  -            1.2e-29   90.9   0.1   1.4e-29   90.7   0.1   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_101712931  -            5.7e-52  164.1   3.1   6.6e-52  163.9   3.1   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101736402  -            5.7e-05    9.7   2.3   8.1e-05    9.2   2.3   1.1   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_101753171  -            1.9e-07   18.3   4.3   3.4e-07   17.4   4.3   1.4   1   1   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101824913  -            9.9e-06   12.2   0.0   1.1e-05   12.1   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_101850123  -            6.2e-07   16.2   0.2   2.4e-05   10.9   0.0   2.2   1   1   1   2   2   2   2 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_101861182  -            8.5e-06   12.8   0.0   8.5e-06   12.8   0.0   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_101882211  -            6.6e-63  200.4   0.1   8.1e-63  200.1   0.1   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_101946762  -            7.6e-48  150.5   5.3     9e-48  150.3   5.3   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_102017131  -            3.8e-95  305.5  11.5   4.6e-95  305.2  11.5   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_102017132  -            9.8e-73  232.5  17.5   1.1e-72  232.3  17.5   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AMO                  PF02461.15 Ga0073928_102069293  -            1.9e-05   12.2   0.1   2.8e-05   11.7   0.1   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_102268941  -            2.1e-05   11.1   0.4   8.9e-05    9.1   0.0   1.9   2   0   0   2   2   2   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_102303902  -              2e-05   11.6   0.3   3.2e-05   10.9   0.3   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_102321621  -            1.7e-40  126.6   0.0   1.9e-40  126.5   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_102321622  -            3.8e-94  302.2  18.1   4.6e-94  301.9  18.1   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_102348731  -            9.5e-07   15.5   0.1   9.6e-07   15.5   0.1   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_102349901  -           6.3e-153  496.7   0.0  7.1e-153  496.5   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_102350432  -           7.6e-144  466.8   0.1  8.5e-144  466.6   0.1   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_102406621  -            7.3e-06   13.6   0.4   9.2e-06   13.3   0.4   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AMO                  PF02461.15 Ga0073928_102442691  -            4.9e-06   14.1   3.7    0.0018    5.8   0.1   3.3   3   0   0   3   3   3   3 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_102477652  -              2e-05   11.2   0.0   2.5e-05   10.9   0.0   1.1   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_102502701  -            4.2e-05   10.1   3.1   3.2e-05   10.5   1.6   1.6   1   1   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_102546781  -            1.9e-05   12.2   0.0   2.8e-05   11.7   0.0   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_102657531  -            5.1e-44  138.2   0.0   6.2e-44  138.0   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_102719892  -            5.7e-05    9.7   1.4   8.2e-05    9.2   1.4   1.1   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_102738981  -            1.3e-52  166.5   0.0   1.5e-52  166.3   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_102816321  -           6.9e-153  496.6   0.0  7.8e-153  496.4   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_102887011  -            1.3e-05   11.8   1.2   1.5e-05   11.6   1.2   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_102923531  -            5.3e-65  207.3   2.1   6.5e-65  207.0   2.1   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AMO                  PF02461.15 Ga0073928_102923533  -            5.1e-15   43.5   0.2   5.1e-15   43.5   0.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_102965522  -            4.4e-12   33.4   2.5   4.7e-12   33.3   2.5   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_102993971  -              8e-46  144.4  24.8   9.3e-46  144.2  24.8   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_102993972  -            8.4e-46  143.9  12.4     1e-45  143.6  12.4   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_103078211  -            5.5e-09   23.8   0.2   5.6e-09   23.8   0.2   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_103078212  -           2.9e-135  438.6   0.0  3.3e-135  438.4   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_103174921  -            8.9e-06   12.4   0.4   8.7e-06   12.4   0.4   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_103214601  -              3e-53  168.2  19.3   3.7e-53  168.0  19.3   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_103253511  -            0.00027    7.9  12.4   2.4e-05   11.4   6.0   2.3   1   1   1   2   2   2   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_103259671  -              5e-25   75.7   0.0   5.9e-25   75.5   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_103310082  -            1.9e-05   11.7   0.0   1.9e-05   11.7   0.0   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_103341721  -            9.2e-44  137.2   4.6   1.1e-43  137.0   4.6   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_103341722  -            5.5e-81  259.5  17.9   6.2e-81  259.3  17.9   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
Monooxygenase_B      PF04744.11 Ga0073928_103343751  -              2e-06   14.5   0.2   2.9e-05   10.7   0.0   2.0   1   1   1   2   2   2   2 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_103427171  -            3.2e-84  270.5   0.0   3.6e-84  270.4   0.0   1.0   1   0   0   1   1   1   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_103427172  -            4.9e-24   72.6   0.6   5.4e-24   72.4   0.6   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_103548641  -            2.6e-06   14.5   0.1   2.7e-06   14.5   0.1   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_103548642  -           9.1e-102  327.5  12.4    1e-101  327.3  12.4   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase
AmoC                 PF04896.11 Ga0073928_103574123  -            5.4e-80  255.8  14.0     6e-80  255.7  14.0   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
Monooxygenase_B      PF04744.11 Ga0073928_103579671  -            5.5e-06   13.0   0.5   1.9e-05   11.3   0.0   1.8   2   0   0   2   2   2   1 Monooxygenase subunit B protein
Monooxygenase_B      PF04744.11 Ga0073928_103662622  -            0.00025    7.6   3.2    0.0001    8.8   0.3   1.7   1   1   1   2   2   2   1 Monooxygenase subunit B protein
AmoC                 PF04896.11 Ga0073928_103769472  -            2.5e-05   11.3   0.1   2.9e-05   11.1   0.1   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AmoC                 PF04896.11 Ga0073928_103769881  -            6.6e-06   13.2   0.0   6.6e-06   13.2   0.0   1.0   1   0   0   1   1   1   1 Ammonia monooxygenase/methane monooxygenase, subunit C
AMO                  PF02461.15 Ga0073928_103901182  -            2.8e-06   14.9   0.5   3.1e-06   14.8   0.5   1.2   1   0   0   1   1   1   1 Ammonia monooxygenase
